Argument ID	Conclusion	Stance	Premise	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A01006	We should end the use of economic sanctions	against	sometimes economic sanctions are the only thing that will get the corrupt governments to take action	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A01011	We should abolish the three-strikes laws	in favor of	three strike laws can cause young people to be put away for life without a chance to straight out their life	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
A01018	We should end the use of economic sanctions	against	economic sanctions provide a non-military sanction to use against countries.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A03013	We should subsidize journalism	in favor of	journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A04016	We should limit executive compensation	against	executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A05015	We should abolish safe spaces	in favor of	these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05018	We should abolish the Olympic Games	in favor of	the olympic games cause turmoil and a lot of money.	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A05027	We should ban whaling	against	There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05036	We should end mandatory retirement	in favor of	the loss of experience and knowledge from mandatory retirement is costly to businesses	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05039	We should subsidize student loans	in favor of	student loans set children up to be valuable citizens and the state should support this	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A05041	We should oppose collectivism	in favor of	collectivism prevents original thoughts and discourages people from looking for their own ideas	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05044	We should limit judicial activism	in favor of	"activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05053	We should introduce compulsory voting	in favor of	compulsory voting makes for more informed voters	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1
A05063	We should ban factory farming	in favor of	it should be banned so that it doesn't take away our farms and will cause more global warming	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
A05068	We should ban targeted killing	against	targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A05076	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05080	We should ban telemarketing	against	We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
