Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A05018	We should abolish the Olympic Games	in favor of	the olympic games cause turmoil and a lot of money.	0	0	1
A05082	We should ban algorithmic trading	in favor of	algorithmic trading should be banned because it gives some people an unfair advantage.	1	0	1
A05083	We should legalize prostitution	in favor of	legalising prostitution will ensure the safety of both the sex trade worker and client	1	0	1
A05087	We should end mandatory retirement	in favor of	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.	1	0	1
A07008	We should end the use of economic sanctions	in favor of	economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less	0	0	1
A07032	We should legalize prostitution	in favor of	with so much sexual freedom these days prostitution should now be legal.	0	0	1
A07054	We should end the use of economic sanctions	in favor of	if we end economic sanctions, then it would lead to a more fair trade market.	1	0	1
A07077	We should adopt an austerity regime	in favor of	an austerity regime would eliminate the national debt by directing money to where it really needs to go.	0	0	1
A07079	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair speed advantage over the rest of the field.	1	0	1
A09033	We should oppose collectivism	in favor of	collectivism is a facet of socialism, communism, etc. and eliminates individual worth	1	0	1
A09043	We should end the use of economic sanctions	in favor of	economic sanctions hurt the poorest people of a nation	0	0	1
A09046	We should end mandatory retirement	in favor of	mandatory retirement should be ended as it is unfair on older people.	0	0	1
A09062	We should subsidize student loans	in favor of	college is getting more and more expensive each year so students should be getting as much help as they need	1	0	1
A09064	We should abolish the three-strikes laws	in favor of	abolishing the three strikes law would save money	0	0	1
A09071	We should limit executive compensation	in favor of	executive compensation should be limited in order to narrow the wage gap between c-level employees and line workers	0	0	1
A10003	We should end the use of economic sanctions	in favor of	we should end all economic sanctions because they cause harm to both countries by preventing free trade which in turn will cause an economic downturn.	0	0	1
A12030	We should abolish the Olympic Games	in favor of	the olympic games are usually a drain on the economy of the host city	0	0	1
A12063	We should adopt an austerity regime	in favor of	austerity regimes provide an avenue for the government to balance up financial deficits and save the country from economic collapse	0	0	1
A12078	We should ban algorithmic trading	in favor of	even if an algorithm can react quicker than a person, it can't predict markets accurately	1	0	1
A12117	We should adopt an austerity regime	in favor of	It would help people spend less money, which would be good for the economy.	0	0	1
A12181	We should abolish safe spaces	in favor of	We should abolish safe spaces because they put public funding for universities at risk, due to backlash from right wing legislatures.	0	0	1
A12221	We should ban whaling	in favor of	we should ban whaling because there is very little profit in the business and does nothing but kill fairly rare animals.	0	0	1
A12258	We should abolish the Olympic Games	in favor of	the olympic games are too expensive to be held	0	0	1
A12259	We should ban whaling	in favor of	whaling should be banned because it harms economic activity that's generated by whale watching	0	0	1
A12283	We should limit executive compensation	in favor of	we should limit executive compensation for national ecomics	0	0	1
A12286	We should limit executive compensation	in favor of	CEO's make 100 times what an average worker make and they do not actually generate any capital.	0	0	1
A12303	We should limit executive compensation	in favor of	excessive wages damage company profitabity and is an abuse of the shareholders	1	0	1
A12318	We should adopt an austerity regime	in favor of	an austerity regime is the most effective way to reduce the national debt.	1	1	1
A12440	We should legalize prostitution	in favor of	legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view.	0	0	1
A12442	We should end mandatory retirement	in favor of	if a person wants to continue working, that is their right.  they should not be forced to stop based on some arbitrary rule made up by someone.	1	0	1
A12475	We should ban the Church of Scientology	in favor of	scientology is just a business that is trying to scam people out of money.	0	0	1
A17011	We should ban algorithmic trading	in favor of	algorithmic trading can cause unnatural market movements.	0	1	1
A18014	We should ban private military companies	in favor of	Private military companies have their bottom line as a priority rather than the safety of the country.	0	0	1
A18032	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair advantage because they can trade so much more quickly and therefore it should be banned.	1	0	1
A18068	We should oppose collectivism	in favor of	people should be able to work hard and reap the benefits of their labor. with collectivism you will always have some people doing most of the work and the lazy ones will benefit from it.	1	0	1
A18090	We should limit executive compensation	in favor of	executive compensation should be limited to make companies more profitable.	1	0	1
A18099	We should abolish intellectual property rights	in favor of	maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.	1	0	1
A18141	We should legalize organ trade	in favor of	people are more likely to share their organs if there is financial benefit to them, increasing supply.	0	0	1
A18145	We should subsidize student loans	in favor of	student loans enable poor students to continue with their education and graduate from the university	1	0	1
A18152	We should limit executive compensation	in favor of	if a company has received enough profits to offer bonuses to their executives, the money could be better spent on giving bonuses to poorer staff members at the bottom of the chain.	0	0	1
A18179	We should ban algorithmic trading	in favor of	algorithmic trading is unfair and doesn't allow for the individual to make money that doesn't have the algorithim.	1	0	1
A18182	We should end the use of economic sanctions	in favor of	ending economic sanctions would make it so all countries could trade freely with anyone.	1	0	1
A18192	We should legalize prostitution	in favor of	Legalizing prostitution will allow prostitutes to push for equitable contracts and conditions, something they can't do in the status quo since their work is illegal.	0	0	1
A18209	We should subsidize student loans	in favor of	we should subsidize student loans to ensure all who seek a good education can obtain one. this sets up success for life which also saves the government money when people are self sufficient	1	0	1
A18214	We should limit executive compensation	in favor of	executive compensation could encourage money laundering and corruption	0	0	1
A18233	We should end the use of economic sanctions	in favor of	they only hurt the poorest of society and are an outdated punishment.	0	0	1
A18249	We should ban algorithmic trading	in favor of	Algorithmic trading allows computers to buy and sell assets suddenly and in massive quantities, creating shifts in the market and making human trading difficult.	1	0	1
A18258	We should subsidize student loans	in favor of	Students are and will always be the backbone of the society. It's compulsory to support these growing students in becoming true, well educated citizens to support the economy.	1	1	1
