Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A03013	We should subsidize journalism	in favor of	['journalism and free expression of information and exchange of ideas is a basic human right and subsidizing this would improve its quality and reach']	1	1	0
A05044	We should limit judicial activism	in favor of	['activists judges arent the ones shaping the laws', ' theyre not all the people for who the laws are voted for', ' judicial activism has to be limited to only check for overuse of the power by governments']	0	1	0
A05053	We should introduce compulsory voting	in favor of	['compulsory voting makes for more informed voters']	0	1	0
A07009	We should ban private military companies	in favor of	['only governments can be trusted with armies so we should ban private military companies']	0	1	0
A07026	We should adopt a multi-party system	in favor of	['multi-party systems offer voters more choices and more representation']	0	1	0
A07036	We should limit judicial activism	in favor of	['judicial activism relies too heavily upon personal opinion and leads to bias']	0	1	0
A07076	We should adopt a zero-tolerance policy in schools	in favor of	['bullies should not be given second chances', ' being victim to school bullying is a major risk factor for developing mental health problems like depression anxiety and even suicidal thoughts']	0	1	0
A09021	We should subsidize Wikipedia	in favor of	['providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information']	1	1	0
A12039	We should ban the use of child actors	in favor of	['we are exploiting the youth purely for entertainment']	0	1	0
A12090	We should legalize sex selection	in favor of	['parents should be able to choose what sex child they are going to have']	0	1	0
A12109	We should adopt libertarianism	in favor of	['libertarianism removes the big brother tyranny of big government and allows more freedom for the people']	0	1	0
A12183	We should oppose collectivism	in favor of	['collectivism removes an individuals right to promote their private interests and exercise autonomy']	0	1	0
A12184	We should legalize prostitution	in favor of	['if prostitution was legal then the people would be able to be better protected and diseases could be controlled more']	0	1	0
A12287	We should introduce compulsory voting	in favor of	['turn out figures are unacceptably low we need to motivate people to be active voters for a representative democracy']	0	1	0
A12293	We should introduce compulsory voting	in favor of	['compulsory voting would make the election practice fairer']	0	1	0
A12318	We should adopt an austerity regime	in favor of	['an austerity regime is the most effective way to reduce the national debt']	1	1	1
A12369	We should subsidize journalism	in favor of	['subsidizing journalism would bring more accurate reporting because it would allow for the hiring of more qualified reporters']	1	1	0
A12385	We should abolish the three-strikes laws	in favor of	['Three strikes laws reduce the power of judges and discretion in the court room making judgments shallower']	0	1	0
A12441	We should introduce compulsory voting	in favor of	['more voters would boost voter turnout']	0	1	0
A12474	We should adopt a multi-party system	in favor of	['tywo party systems no longer reflect the growing diversity of political views only a multi party system can do this']	1	1	0
A12500	We should introduce compulsory voting	in favor of	['compulsory voting will eliminate voter suppression which is a big problem in this country']	0	1	0
A14009	We should subsidize student loans	in favor of	['we have a tremendous amount of highly intelligent /students who could not go to college without subsidizes', ' these students could find cures to fatal illnesses and should be subsidized to benefit all of society']	0	1	0
A15002	We should ban fast food	in favor of	['fast food is the cause of the ever increasing chronic conditions and obesity in our nation']	0	1	0
A17011	We should ban algorithmic trading	in favor of	['algorithmic trading can cause unnatural market movements']	0	1	1
A17012	We should limit judicial activism	in favor of	['judges should be limited to upholding law rather than making it', ' that job is politicians']	0	1	0
A18039	We should adopt a zero-tolerance policy in schools	in favor of	['Some violent and extreme behaviours in schools deserve a fierce and sharp reaction']	0	1	0
A18105	We should adopt an austerity regime	in favor of	['we should adopt an austerity regime so that future generations are not left t0 pay the debts that we rack up']	1	1	0
A18139	We should subsidize journalism	in favor of	['Journalism plays an essential role as watchdog of democracy and keeping citizens informed', ' Such a valuable industry deserves government subsidization']	0	1	0
A18154	We should legalize sex selection	in favor of	['sex selection should be allowed to those who want a certain gender']	0	1	0
A18160	We should adopt a multi-party system	in favor of	['A multi-party system would bring in a lot more choice of representation for the people living in the country']	0	1	0
A18164	We should adopt a zero-tolerance policy in schools	in favor of	['zero-tolerance must be mandatory in school and is only way to stop negative stuff which happens so often in schools']	1	1	0
A18227	We should limit judicial activism	in favor of	['judges who rule based on their own personal and political beliefs usurp the power of our elected officials and are violating our constitutional rights']	0	1	0
A18239	We should adopt a zero-tolerance policy in schools	in favor of	['Zero-tolerance policies may seem unfair to the individual but bad and risky behavior at schools spreads faster than wildfire', ' Sometimes we must make an example of an individual for the greater good']	0	1	0
A18246	We should subsidize journalism	in favor of	['we should if its subsidised it could mean better journalism']	1	1	0
A18248	We should introduce compulsory voting	in favor of	['elections are supposed to be won by the opinion of the people', '  if only a select few people vote then the result only reflects their opinions not that of the whole population']	0	1	0
A18258	We should subsidize student loans	in favor of	['Students are and will always be the backbone of the society', ' Its compulsory to support these growing students in becoming true well educated citizens to support the economy']	1	1	1
A18283	We should oppose collectivism	in favor of	['collectivism and the impingement of the the government results in people blaming others for their problems rather than looking for solutions themselves']	1	1	0
A18301	We should adopt gender-neutral language	in favor of	['gender neutral language will allow both genders to be included and liberated to succeed as much as possible', '  removing gender benefits all and reduces discrimination and suppression']	0	1	0
A18314	We should limit executive compensation	in favor of	['executive compensation too often fails to deliver and as such causes working issues therefore it should not only be limited but stopped completely']	1	1	1
A18326	We should abandon the use of school uniform	in favor of	['school uniforms limit the ability to express ones self']	0	1	0
A18351	We should ban human cloning	in favor of	['human cloning should be banned as it is unnatural and serves no purpose in the world', ' individuality would be lost']	0	1	0
A18375	We should oppose collectivism	in favor of	['collectivism takes the focus off the individual as well as the ways in which each of us is unique', ' supporting collectivism means wanting the individual to remain subordinate to society']	0	1	0
A18388	We should adopt an austerity regime	in favor of	['adopting an austerity regime is the best way to reduce the budget deficits we currently are faced with']	1	1	1
A18392	We should ban missionary work	in favor of	['Missionaries try to force their beliefs and values on people']	1	1	0
A18408	We should ban the Church of Scientology	in favor of	['scientology is in fact a cult cults need to be stopped']	0	1	0
A18428	We should introduce compulsory voting	in favor of	['compulsory voting would be beneficial because more people would take an interest in politics creating a more fair representation in government']	1	1	0
A18446	We should limit judicial activism	in favor of	['judicial activism should be limited because a judge should not be making all decisions']	0	1	0
A18454	We should subsidize journalism	in favor of	['We should subsidize journalism because we need to keep local journalism alive so people are aware of what is going on in their community but small news papers are struggling the most']	0	1	1
A18460	We should introduce compulsory voting	in favor of	['compulsory voting will lead to a far more representative system of parliament because everyones vote will be taken into consideration']	0	1	0
A18466	We should legalize organ trade	in favor of	['people should be able to do what they want with their bodies']	0	1	0
A18470	We should subsidize Wikipedia	in favor of	['we should subsidize wikipedia because everyone in the world knows it as a household name and if the government pays for libraries why cant they pay for wikipedia which contains probably more information']	1	1	0
A18487	We should adopt a multi-party system	in favor of	['multi-party systems help decentralize power and better represent the various interests of different socio-economic strata within a nation']	0	1	0
A19004	We should limit judicial activism	in favor of	['judicial activism goes against our system  of what is best for the people']	0	1	0
A19079	We should ban targeted killing	in favor of	['the goal should always be to capture alive so banning targeted killing will encourage capture instead of kill']	1	1	0
A19113	We should legalize prostitution	in favor of	['we should legalize prostitution so that women as a whole are taught that their place in society is simply as a commodity to be used by someone with more money']	0	1	1
A19116	We should adopt a multi-party system	in favor of	['a multi-party system will help to ensure that more political agendas will be given the chance to represent the people']	0	1	0
A19149	We should ban human cloning	in favor of	['we should ban human cloning because it raises too many legal questions regarding ownership and identity']	0	1	0
A19200	We should adopt a multi-party system	in favor of	['the multi-party system works and ensures that everybody has their say']	1	1	0
A19208	We should legalize organ trade	in favor of	['there is never going to be enough voluntary donation to meet demand opening up an organ trade could remedy this drastic gap in supply to help save lives']	0	1	0
A19264	We should introduce compulsory voting	in favor of	['by requiring all citizens to vote we would be able to elect politicians who more accurately represent the publics will']	0	1	0
A19265	We should introduce compulsory voting	in favor of	['compulsory voting would saturate the polls with new faces causing more change and better results']	0	1	0
A19267	We should subsidize space exploration	in favor of	['we should subsidize space exploration because it is beneficial for educational purposes']	1	1	0
A19285	We should end the use of economic sanctions	in favor of	['economic sanctions cause a weight on country governments that have violated human rights dangerous acts et al and the only thing that governments can relate to are monetary hardships']	0	1	0
A19313	We should abolish intellectual property rights	in favor of	['it gives more people an opportunity to improve a product already on that market without worrying about copyright infringement']	1	1	1
A19362	We should adopt a zero-tolerance policy in schools	in favor of	['we need to keep other kids safe in schools by enforcing a zero-tolerance policy in schools', '   we cant have drugs or weapons in our schools and give those kids a pass']	0	1	0
A19387	We should subsidize space exploration	in favor of	['space exploration is the last great frontier for scientific discovery and should be publicly funded']	1	1	0
A19428	We should abolish the three-strikes laws	in favor of	['three -strikes laws take discretion away from judges', '  a person committing a minor crime could be sentenced to life if he had a criminal history from long ago', '  these laws backlog our courts cram our prisons']	1	1	0
A19431	We should ban the Church of Scientology	in favor of	['the veracity of scientology has been sufficiently questioned as to not accept churches of scientology']	0	1	0
A19435	We should ban the Church of Scientology	in favor of	['scientology is an evil cult that is sustained by stealing from its acolytes large sums of money in exchange for nothing']	0	1	1
A19480	We should ban private military companies	in favor of	['private military companies do not all follow the rules of the country']	0	1	0
A19484	We should adopt an austerity regime	in favor of	['its about getting the deficit down and engaging in austerity regime the overall impact on the economy is positive in the short term']	0	1	1
A19495	We should abolish the three-strikes laws	in favor of	['we should abolish the three-strikes laws and just stick to one law because it may stop reoffending if its that harsh']	0	1	0
A20186	We should introduce compulsory voting	in favor of	['looking at the current state of politics around the world it is evident that democracy only exists through vigilance', ' compulsory voting would help to keep democracy alive when under threat']	1	1	0
A20200	We should ban the Church of Scientology	in favor of	['the church of scientology is known for trying to completely control the thoughts and actions of others']	0	1	0
A20261	We should subsidize space exploration	in favor of	['space exploratin gives us an advantage over other countries such as satellite usage to target enemy combatants and nuclear arsenals']	1	1	0
A20307	We should abolish the three-strikes laws	in favor of	['three strikes is too many and dangerous criminals will be on the loose again too quickly']	0	1	0
A20312	We should subsidize Wikipedia	in favor of	['wikipedia is an amazing resource that just about everyone uses', '  if it were to disappear many people would lose out', '  subsidizing it would be beneficial to all']	1	1	0
A20369	We should adopt a zero-tolerance policy in schools	in favor of	['by adopting a zero-tolerance policy in schools we can cut bullying out since those who do it will be removed from the school']	0	1	0
A20391	We should subsidize journalism	in favor of	['journalism must be supported by the central government']	0	1	0
A20407	We should adopt a multi-party system	in favor of	['in a multi party system the general population have more of a choice in who their leaders are']	0	1	0
A20468	We should introduce compulsory voting	in favor of	['compulsory voting would ensure that everyone becomes engaged in the political process and it would be the true voice of the people rather than the voice of the minority  who vote']	0	1	0
A20471	We should end mandatory retirement	in favor of	['Corporations should decide for themselves whether to keep a worker because they are the ones directly impacted mandatory retirement encroached on corporate rights']	0	1	0
A21022	We should subsidize journalism	in favor of	['we should subsidize journalism as it is a key element to investigating wrong doings in society']	1	1	0
A21146	We should adopt a multi-party system	in favor of	['the interests of a two party system are very limited and we need to expand with more parties to cater to more views']	0	1	0
A21277	We should introduce compulsory voting	in favor of	['the more people participate in the voting process the better it is for democracy and society as a whole']	0	1	0
A21357	We should adopt a multi-party system	in favor of	['could open up congress and create new opportunities for bargaining and coalition building on unusual lines']	1	1	0
A21362	We should introduce compulsory voting	in favor of	['voting is what drives our country and not voting means that the most preferred people do not get elected']	0	1	0
A21426	We should adopt an austerity regime	in favor of	['when everything else fails the government should be allowed to curb all superfluous spending within']	1	1	1
A21442	We should ban cosmetic surgery for minors	in favor of	['minors are too young to make these choices']	0	1	0
A21492	We should abolish capital punishment	in favor of	['Crimes that get the death penalty are rarely premeditated which means capital punishment doesnt function as a deterant']	0	1	0
A22002	We should subsidize journalism	in favor of	['we need journalists to keep us informed as to what is going on in the world']	0	1	0
A22025	We should subsidize journalism	in favor of	['subsidizing journalism allows more voices to be heard']	0	1	0
A22096	We should ban fast food	in favor of	['fast food can lead to obesity if eaten too often', ' banning it would mean people have less access and obesity levels would fall']	0	1	0
A22100	We should adopt an austerity regime	in favor of	['we should adopt an austerity regime because it would help to reduce unnecessary spending']	0	1	1
A22133	We should introduce compulsory voting	in favor of	['voter turnout these days are dropping steadily so we need to make everyone vote to show the true representation of the people']	0	1	0
A22147	We should end the use of economic sanctions	in favor of	['the use of economic sanctions should be ended because it is important to keep a good relationship with the countries we trade with']	0	1	1
A22160	We should legalize sex selection	in favor of	['families should have the right to choose the sex of their babies']	0	1	0
A22237	We should ban cosmetic surgery for minors	in favor of	['it is a decision that only parents can make until they are old enough to decide']	0	1	0
A22244	We should abolish the three-strikes laws	in favor of	['three strikes is too many in some cases', '  if people know they have three chances they will not be deterred from using that to their advantage']	0	1	0
A22294	We should ban private military companies	in favor of	['we should ban private military companies as they are difficult to legislate and it is difficult to monitor the operations and ensure they are legal and ethical']	1	1	0
A22332	We should abolish the right to keep and bear arms	in favor of	['the right to keep and bear arms is antiquated']	1	1	0
A22386	We should introduce compulsory voting	in favor of	['Compulsory voting should be introduced to ensure that the results of elections are completely representative of the population']	0	1	0
A23031	We should subsidize space exploration	in favor of	['many of the technological advances brought about by space exploration have eventual benefits for society in general']	1	1	0
A23093	We should subsidize Wikipedia	in favor of	['it is the go to encyclopedia and should be of the highest quality possible']	1	1	0
A23099	We should abolish intellectual property rights	in favor of	['intellectual property rights are unhelpful to companies who want to copy other peoples ideas']	1	1	0
A23112	We should legalize sex selection	in favor of	['we should legalize sex selection as it is a parents right to choose and many families may want a girl after many boys and so sex selection will help ensure a wanted pregnancy']	0	1	0
A23193	We should adopt an austerity regime	in favor of	['an austerity regime can help lower debt throughout the country']	0	1	0
A23242	We should adopt a zero-tolerance policy in schools	in favor of	['Zero-tolerance policy works- Think of schools three decades ago when the policy was prevalent', ' As a result children were obedient and disciplined as opposed to students behaviour  today using moderd soft approaches in schools']	0	1	0
A23260	We should subsidize journalism	in favor of	['jounalism is extremely important to the general public']	0	1	0
A23268	We should introduce compulsory voting	in favor of	['compulsory voting would increase political activism']	1	1	0
A23283	We should end mandatory retirement	in favor of	['older employees have a wealth of knowledge and experience and forcing them to retire could put a companys productivity at risk']	1	1	0
A23291	We should ban the Church of Scientology	in favor of	['scientology is a cult that brainwashes people']	0	1	0
A23310	We should stop the development of autonomous cars	in favor of	['these cars are too unpredictable and unsafe']	0	1	0
A23381	We should adopt a multi-party system	in favor of	['a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished']	1	1	0
A23429	We should subsidize journalism	in favor of	['Newspapers and magazines are currently struggling and need subsidization to stay solvent']	1	1	0
A23479	We should ban the Church of Scientology	in favor of	['the church of scientology is a corrupt organization that preaches extreme values and is detrimental to society']	0	1	0
A24016	We should legalize cannabis	in favor of	['legalized cannabis can be more closely regulated and taxed', ' it makes it safer than illegal weed and helps provide tax dollars']	1	1	1
A24052	We should introduce compulsory voting	in favor of	['compulsory voting will represent all of the people not only those who already vote']	0	1	0
A24059	We should adopt a multi-party system	in favor of	['a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect']	0	1	0
A24091	We should adopt a multi-party system	in favor of	['more political parties give people more of a choice to support what they believe in']	0	1	0
A24092	We should ban algorithmic trading	in favor of	['algorithmic trading gives some people an unfair advantage']	0	1	0
A24107	We should oppose collectivism	in favor of	['collectivism does not allow one person to stand out from the others which can be negative']	1	1	0
A24115	We should abolish intellectual property rights	in favor of	['we need to do away with intellectual property rights so it doesnt slow down innovation']	1	1	0
A24127	We should legalize prostitution	in favor of	['legalizing prostitution would allow the government to regulate prostitution and make it safer']	0	1	0
A24165	We should legalize organ trade	in favor of	['we should legalize organ trade because it will be better monitored than having organs being sold on the black market']	0	1	0
A24166	We should limit judicial activism	in favor of	['judicial activism should be limited because law making is best done by the legislative and executive branches of government']	0	1	0
A24193	We should adopt a multi-party system	in favor of	['the multi-party system offers voters more choices that may get more people involved in politics']	1	1	0
A24199	We should introduce compulsory voting	in favor of	['compulsory voting gives everyone in society their say in politics']	0	1	0
A24240	We should legalize cannabis	in favor of	['it will stop people from buying the drug from the streets it will also mean that regulations are put in place to ensure the quality of the drug is safe to use it will also increase tax revenue']	0	1	1
A24296	We should legalize sex selection	in favor of	['parents should be able to utilize any technological advances they wish in order to build their ideal family']	1	1	0
A24321	We should introduce compulsory voting	in favor of	['all citizens should be compelled to vote to voice their opinion on who should be our elected leaders', ' apathy in selecting our political leaders is detrimental to our society']	1	1	0
A24327	We should subsidize Wikipedia	in favor of	['subsidization would improve the reach and dissemination of wikipedias information enabling translation into more marginal languages for example']	1	1	0
A24335	We should ban the Church of Scientology	in favor of	['we should ban the church of scientology as people may not recognise it as a true religion']	0	1	0
A24342	We should legalize sex selection	in favor of	['parents should be able to chose the sex of their children']	0	1	0
A24415	We should introduce compulsory voting	in favor of	['compulsory voting will ensure the proper result in an election']	1	1	0
A24444	We should introduce compulsory voting	in favor of	['by introducing compulsory voting you will assure that each and every citizens voice is heard']	1	1	0
A24484	We should oppose collectivism	in favor of	['We should oppose collectivism because while it can be used to help everyone it gives too much power to the collective to hurt individuals']	0	1	0
