Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A05098	We should limit executive compensation	against	['We', 'should', 'not', 'limit', 'executive', 'compensation', 'as', 'they', 'should', 'get', 'the', 'salary', 'equal', 'to', 'their', 'contribution', 'to', 'the', 'organisation']	1	0	1
A07011	We should subsidize space exploration	against	['there', 'are', 'much', 'more', 'important', 'things', 'to', 'spend', 'money', 'on;', 'space', 'exploration', 'is', 'a', 'low', 'priority', 'and', 'should', 'not', 'be', 'subsidized']	0	0	1
A07019	We should end mandatory retirement	against	['Setting', 'a', 'mandatory', 'retirement', 'age', 'allows', 'for', 'the', 'younger', 'generations', 'to', 'move', 'up', 'the', 'ladder', 'and', 'to', 'better', 'support', 'their', 'own', 'families']	1	0	1
A07031	We should abolish intellectual property rights	against	['we', 'cannot', 'abolish', 'intellectual', 'property', 'rights', 'because', 'artists', 'and', 'scientists', 'need', 'to', 'have', 'their', 'ideas', 'and', 'innovations', 'protected', 'so', 'that', 'they', 'can', 'earn', 'a', 'living', 'in', 'their', 'fields']	1	0	1
A07053	We should ban algorithmic trading	against	['we', 'should', 'continue', 'to', 'support', 'algorithmic', 'trading', 'as', 'it', 'gives', 'orders', 'a', 'jump', 'start', 'rather', 'than', 'waiting', 'until', 'the', 'complete', 'order', 'has', 'been', 'produced']	1	1	1
A07068	We should limit executive compensation	against	['executives', 'provide', 'profits', 'to', 'shareholders', 'and', 'should', 'be', 'compensated', 'accordingly']	1	0	1
A07097	We should ban whaling	against	['whaling', 'is', 'an', 'important', 'part', 'of', 'the', 'diet', 'tradition', 'and', 'economies', 'of', 'many', 'countries', 'and', 'it', 'is', 'not', 'our', 'place', 'to', 'dictate', 'terms', 'as', 'outsiders', 'to', 'their', 'culture']	0	1	1
A09026	We should abolish intellectual property rights	against	['intellectual', 'property', 'rights', 'enable', 'people', 'to', 'benefit', 'from', 'what', 'they', 'worked', 'so', 'hard', 'to', 'achieve']	1	1	1
A09027	We should adopt an austerity regime	against	['we', 'should', 'not', 'adopt', 'an', 'austerity', 'regime', 'because', 'people', 'would', 'end', 'up', 'with', 'less', 'money', 'to', 'pay', 'the', 'same', 'amount', 'of', 'bills', 'with']	0	0	1
A09035	We should abolish the Olympic Games	against	['The', 'Olympic', 'games', 'provides', 'jobs', 'and', 'is', 'a', 'boost', 'for', 'the', 'economy', 'in', 'the', 'host', 'country']	1	0	1
